
IMPORTANT: The MATLAB Academic site license is available to employees and
enrolled students of the KIT and the universities of Baden-Wuerttemberg
(Freiburg, Heidelberg, Hohenheim, Konstanz, Mannheim, Stuttgart, Tuebingen, Ulm).
The license is available for teaching or research only.
Commercial applications are not permitted.


                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018b (9.5.0.944444) 64-bit (glnxa64)
                              August 28, 2018

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Training on single CPU.
[Warning: dialog is no longer supported when MATLAB is started with the
-nodisplay or -noFigureWindows option or there is no display. For more
information, see "Changes to -nodisplay and -noFigureWindows Startup Options"
in the MATLAB Release Notes. To view the release note in your system browser,
run web('www.mathworks.com/help/matlab/release-notes.html#br5ktrh-3',
'-browser')] 
[> In warnfiguredialog (line 21)
  In dialog (line 39)
  In nnet.internal.cnn.ui.DialogFactory/createWaitDialog (line 8)
  In nnet.internal.cnn.ui.PreprocessingDisplayerDialog/displayPreprocessing (line 21)
  In nnet.internal.cnn.ui.TrainingPlotPresenterWithDialog/showPreprocessingStage (line 113)
  In nnet.internal.cnn.util.TrainingPlotReporter/setup (line 69)
  In nnet.internal.cnn.util.VectorReporter/computeAndReport (line 56)
  In nnet.internal.cnn.util.VectorReporter/setup (line 12)
  In nnet.internal.cnn.Trainer/initializeNetworkNormalizations (line 127)
  In trainNetwork>doTrainNetwork (line 213)
  In trainNetwork (line 148)
  In train_deepstorm (line 46)
  In run (line 91)] 
Initializing image normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:04 |       636.70 |     202693.8 |          0.0010 |
|       1 |          50 |       00:01:34 |       630.66 |     198863.3 |          0.0010 |
|       1 |         100 |       00:03:04 |       592.26 |     175387.6 |          0.0010 |
|       1 |         150 |       00:04:33 |       581.48 |     169059.7 |          0.0010 |
|       2 |         200 |       00:05:59 |       477.36 |     113938.5 |          0.0010 |
|       2 |         250 |       00:07:24 |       520.59 |     135505.0 |          0.0010 |
|       2 |         300 |       00:08:50 |       431.50 |      93094.0 |          0.0010 |
|       3 |         350 |       00:10:15 |       474.92 |     112775.8 |          0.0010 |
|       3 |         400 |       00:11:40 |       524.23 |     137408.2 |          0.0010 |
|       3 |         450 |       00:13:03 |       423.35 |      89610.7 |          0.0010 |
|       4 |         500 |       00:14:25 |       374.65 |      70180.2 |          0.0010 |
|       4 |         550 |       00:15:48 |       400.76 |      80304.7 |          0.0010 |
|       4 |         600 |       00:17:12 |       433.50 |      93961.9 |          0.0010 |
|       5 |         650 |       00:18:35 |       420.70 |      88495.1 |          0.0010 |
|       5 |         700 |       00:19:58 |       413.68 |      85565.2 |          0.0010 |
|       5 |         750 |       00:21:21 |       342.96 |      58811.8 |          0.0010 |
|       6 |         800 |       00:22:45 |       349.24 |      60982.9 |          0.0010 |
|       6 |         850 |       00:24:16 |       353.36 |      62432.0 |          0.0010 |
|       6 |         900 |       00:25:38 |       348.31 |      60659.2 |          0.0010 |
|       7 |         950 |       00:26:59 |       332.57 |      55302.4 |          0.0010 |
|       7 |        1000 |       00:28:20 |       361.28 |      65262.0 |          0.0010 |
|       7 |        1050 |       00:29:41 |       308.81 |      47680.9 |          0.0010 |
|       8 |        1100 |       00:31:04 |       352.64 |      62176.6 |          0.0010 |
|       8 |        1150 |       00:32:27 |       381.90 |      72923.9 |          0.0010 |
|       8 |        1200 |       00:33:50 |       348.57 |      60752.2 |          0.0010 |
|       9 |        1250 |       00:35:12 |       330.81 |      54718.6 |          0.0010 |
