
IMPORTANT: The MATLAB Academic site license is available to employees and
enrolled students of the KIT and the universities of Baden-Wuerttemberg
(Freiburg, Heidelberg, Hohenheim, Konstanz, Mannheim, Stuttgart, Tuebingen, Ulm).
The license is available for teaching or research only.
Commercial applications are not permitted.


                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018b (9.5.0.944444) 64-bit (glnxa64)
                              August 28, 2018

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
Training on single CPU.
[Warning: dialog is no longer supported when MATLAB is started with the
-nodisplay or -noFigureWindows option or there is no display. For more
information, see "Changes to -nodisplay and -noFigureWindows Startup Options"
in the MATLAB Release Notes. To view the release note in your system browser,
run web('www.mathworks.com/help/matlab/release-notes.html#br5ktrh-3',
'-browser')] 
[> In warnfiguredialog (line 21)
  In dialog (line 39)
  In nnet.internal.cnn.ui.DialogFactory/createWaitDialog (line 8)
  In nnet.internal.cnn.ui.PreprocessingDisplayerDialog/displayPreprocessing (line 21)
  In nnet.internal.cnn.ui.TrainingPlotPresenterWithDialog/showPreprocessingStage (line 113)
  In nnet.internal.cnn.util.TrainingPlotReporter/setup (line 69)
  In nnet.internal.cnn.util.VectorReporter/computeAndReport (line 56)
  In nnet.internal.cnn.util.VectorReporter/setup (line 12)
  In nnet.internal.cnn.Trainer/initializeNetworkNormalizations (line 127)
  In trainNetwork>doTrainNetwork (line 213)
  In trainNetwork (line 148)
  In train_deepstorm (line 46)
  In run (line 91)] 
Initializing image normalization.
|========================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Mini-batch  |  Base Learning  |
|         |             |   (hh:mm:ss)   |     RMSE     |     Loss     |      Rate       |
|========================================================================================|
|       1 |           1 |       00:00:03 |       636.70 |     202693.8 |          0.0010 |
|       1 |          50 |       00:01:31 |       630.66 |     198863.3 |          0.0010 |
|       1 |         100 |       00:02:57 |       592.26 |     175387.6 |          0.0010 |
|       1 |         150 |       00:04:24 |       581.48 |     169059.7 |          0.0010 |
|       2 |         200 |       00:05:47 |       477.36 |     113938.5 |          0.0010 |
|       2 |         250 |       00:07:11 |       520.59 |     135505.0 |          0.0010 |
|       2 |         300 |       00:08:36 |       431.50 |      93094.0 |          0.0010 |
|       3 |         350 |       00:09:58 |       474.92 |     112775.8 |          0.0010 |
|       3 |         400 |       00:11:20 |       524.23 |     137408.2 |          0.0010 |
|       3 |         450 |       00:12:44 |       423.35 |      89610.7 |          0.0010 |
|       4 |         500 |       00:14:08 |       374.65 |      70180.2 |          0.0010 |
|       4 |         550 |       00:15:32 |       400.76 |      80304.7 |          0.0010 |
|       4 |         600 |       00:16:55 |       433.50 |      93961.9 |          0.0010 |
|       5 |         650 |       00:18:19 |       420.70 |      88495.1 |          0.0010 |
|       5 |         700 |       00:19:43 |       413.68 |      85565.2 |          0.0010 |
|       5 |         750 |       00:21:06 |       342.96 |      58811.8 |          0.0010 |
|       6 |         800 |       00:22:29 |       349.24 |      60982.9 |          0.0010 |
|       6 |         850 |       00:23:52 |       353.36 |      62432.0 |          0.0010 |
|       6 |         900 |       00:25:13 |       348.31 |      60659.2 |          0.0010 |
|       7 |         950 |       00:26:34 |       332.57 |      55302.4 |          0.0010 |
|       7 |        1000 |       00:27:55 |       361.28 |      65262.0 |          0.0010 |
|       7 |        1050 |       00:29:16 |       308.81 |      47680.9 |          0.0010 |
|       8 |        1100 |       00:30:37 |       352.64 |      62176.6 |          0.0010 |
|       8 |        1150 |       00:31:58 |       381.90 |      72923.9 |          0.0010 |
|       8 |        1200 |       00:33:19 |       348.57 |      60752.2 |          0.0010 |
|       9 |        1250 |       00:34:40 |       330.81 |      54718.6 |          0.0010 |
